movie_title,release_date,genre,metascore
Union Square,13-Jul-12,Drama,55
Dreaming of Joseph Lees,29-Oct-99,"Drama,Romance",55
I Am Eleven,12-Sep-14,"Biography,Documentary",55
The Brooklyn Brothers Beat the Best,21-Sep-12,"Comedy,Music",54
Whole New Thing,06-Apr-07,"Drama,Comedy",54
Amu,25-May-07,Drama,54
Next of Kin,20-Oct-89,"Action,Thriller,Crime",53
Group,05-Jul-02,"Drama,Comedy",53
Ghost River,05-Mar-04,Drama,52
Zorro: The Gay Blade,17-Jul-81,"Action,Adventure,Comedy,Romance,Western",52
American Chaos,14-Sep-18,Documentary,52
Private Peaceful,31-Oct-14,"Drama,War",51
The Song of Sway Lake,21-Sep-18,"Drama,Romance,Musical",51
Twelve Thirty,14-Jan-11,Drama,50
The Human Scale,18-Oct-13,"Documentary,News",50
Auggie Rose,15-Jun-01,"Drama,Mystery,Thriller",49
Just Like Us,10-Jun-11,Documentary,49
Special Treatment,26-Aug-11,"Drama,Comedy",49
Meeting Resistance,19-Oct-07,Documentary,49
When Comedy Went to School,31-Jul-13,"Drama,Comedy,Documentary",49
Incantato,24-Sep-04,"Drama,Comedy,Romance",48
Spring Fever,06-Aug-10,Drama,47
The Dry Land,30-Jul-10,Drama,47
U.N. Me,01-Jun-12,Documentary,46
Little Darlings,21-Mar-80,"Drama,Comedy",45
Paternity,02-Oct-81,"Comedy,Romance",45
Hey Bartender,07-Jun-13,Documentary,44
Suspended Animation,31-Oct-03,Thriller,43
Jake Speed,30-May-86,"Action,Adventure,Comedy,Crime",42
Tonight You're Mine,11-May-12,"Drama,Comedy,Music",41
Two Moon Junction,29-Apr-88,"Drama,Romance",38
Shock Treatment,31-Oct-81,"Comedy,Musical",36
Take Care,05-Dec-14,"Drama,Comedy,Romance",34
The Wait,31-Jan-14,"Drama,Thriller",34
The Time Being,26-Jul-13,Mystery,29
